etf,distribucion,h_valor,cbr,qs,kz,m,q,cbr_wcor,qs_wcor,kz_wcor,m_wcor,q_wcor
eemv,copula,500,-0.05783465163343644,-0.06388974236603155,-0.06019018958556903,-0.06709937400928903,-0.06847264081399317,-0.04081368367634958,-0.04426249273907527,-0.04186708181701616,-0.0457882318303655,-0.04715427002979754
fem,copula,500,-0.04674698448761125,-0.05273664040817657,-0.04902228579671691,-0.05586152624117653,-0.05713394218265166,-0.02973392064337864,-0.03292194461419381,-0.03068385422097087,-0.03433234649010283,-0.03560249969857847
ieem,copula,500,-0.02161267209870719,-0.02667280552616293,-0.0238199462535473,-0.02976336767472071,-0.03106671314921497,-0.01109021528565119,-0.01343140387862246,-0.01197404716475833,-0.01481356287896179,-0.01611372519724891
psrm,copula,500,-0.05329581818802599,-0.05947086503769333,-0.05581505573561395,-0.06289766776490277,-0.06427618804069074,-0.03686873469879464,-0.04046111336006931,-0.03804220651059234,-0.04215476358391561,-0.04352735547115741
vwo,copula,500,0.2716288584815766,0.2716140619818321,0.2703376210878688,0.2693124741061497,0.26792432574541514,0.2572410734966735,0.26027823947169115,0.25719132965654135,0.2595006928264418,0.25811522034472395
eem,gauss,100,-0.26262153805659166,-0.28574540296390927,-0.3181055993177543,-0.3619896350787875,-0.4008990513667774,-0.18773706787045769,-0.20121832806956796,-0.21253416735245817,-0.237268884593687,-0.2757607876867535
eemo,gauss,100,-0.31244415509431134,-0.337589954763442,-0.36501661519937734,-0.4095229559169739,-0.44789813231371856,-0.2203854262685687,-0.23511663040436528,-0.24262281720952655,-0.2671817839403535,-0.3051938895287816
eemv,gauss,100,-0.3087603472635079,-0.33352956002363576,-0.3633580550680755,-0.4081851299844792,-0.4483453555599395,-0.22168606812494632,-0.2364110818258344,-0.24570307782973752,-0.27094183621448037,-0.31067059203093306
fem,gauss,100,-0.31693295699302076,-0.34206197647592695,-0.3703192185423169,-0.4151408065368511,-0.45461695245922185,-0.22643762181979543,-0.2410548444207065,-0.24917633051418375,-0.2738316326734242,-0.31302995368082265
ieem,gauss,100,-0.29668049828589316,-0.32186176547757217,-0.35286573258213244,-0.3988155777812695,-0.4380319071800077,-0.20841844009085944,-0.2233379514525672,-0.23294910173184288,-0.25883873576208294,-0.2976226734633663
