"h","distribution","etf","m.q","kz.q","qs.q","cbr.q","kz.m","qs.m","cbr.m","qs.kz","cbr.kz","cbr.qs"
100,"copula","eemv",0.00169020717251538,6.52038092870973e-07,2.04837275410491e-08,3.45433448143307e-11,0.0179680656888105,0.0025638351048609,3.7551583930933e-05,0.202711833872616,0.0201225216080263,0.0835263243570833
150,"copula","eemv",0.0573738908529935,0.0015743486783143,0.00158685448020338,6.15708922648687e-05,0.057938091710222,0.0593676763371815,0.00485024071253696,0.485868774919562,0.11394491356431,0.115840697345389
200,"copula","eemv",0.179442303519168,0.0255257854323514,0.04371153516646,0.00570102672108526,0.123647489881911,0.174369084422091,0.0397897165572777,0.617650197609481,0.236645512303549,0.180082917172514
250,"copula","eemv",0.272676298421971,0.0678903581359363,0.12314902747822,0.026410240209974,0.173115157311092,0.258259768298828,0.0877312203240071,0.650724475831066,0.304364008464328,0.213923959589408
300,"copula","eemv",0.307792816589326,0.0966113297359454,0.178803124378519,0.0532790762164371,0.183307481003501,0.281678824537471,0.110219894575352,0.669520063787912,0.334029022025091,0.217500437513729
350,"copula","eemv",0.344764591342848,0.136570041549705,0.229915506714444,0.0904880899478909,0.20827338527119,0.326064958693138,0.14642755320686,0.685299211011117,0.362018096079902,0.235892422351575
400,"copula","eemv",0.368448263458471,0.162689555813761,0.268631974972605,0.122651975137798,0.229174399072292,0.353807850069747,0.182013358979685,0.683561908902235,0.397346685433962,0.255110598803778
450,"copula","eemv",0.389827741414868,0.221111188177866,0.31556893052145,0.181368445544204,0.291660309376694,0.389827741414868,0.23967105755394,0.642551274418402,0.408696148320058,0.306934023604808
500,"copula","eemv",0.412496892826218,0.269438422131263,0.35836099088631,0.23967105755394,0.31905164701611,0.417259346408028,0.284158697842984,0.623230166019632,0.429696975287657,0.335809171843523
100,"t","fem",0.00103537941549425,8.4301162269874e-07,6.41054465403532e-08,2.1991629075568e-10,0.0234226132260626,0.00558301659720234,0.000136622295122579,0.24887303392039,0.0329833308860478,0.115364664716701
150,"t","fem",0.071486157913019,0.00264250524843364,0.00309242172526067,7.88243154633836e-05,0.0704912943083744,0.0735081654503101,0.00880417918635559,0.517053298106533,0.138180655392326,0.127176292036669
200,"t","fem",0.167543791097854,0.026861984660369,0.0472129141525707,0.00715278793772774,0.134972313621447,0.195886124512649,0.0453185249525634,0.622301921654586,0.258259768298828,0.188541130752991
250,"t","fem",0.275933368524702,0.07592211987793,0.131815442528132,0.0302080725676682,0.189201754687634,0.2590501971909,0.0978716761592877,0.654334960985523,0.308652663843544,0.219662788708029
300,"t","fem",0.289149531812862,0.0685335383673074,0.154417054631153,0.0315705042968921,0.163894452502202,0.291660309376694,0.093308763997405,0.694780384259818,0.322550410338234,0.191858474897275
350,"t","fem",0.341171630815006,0.144196741773427,0.247326424641887,0.0941264791543226,0.226223404466092,0.34656636067819,0.164499066816793,0.671288930970967,0.363851408388617,0.248099086399989
400,"t","fem",0.372139389351348,0.171866988733022,0.300102089163876,0.133387453670769,0.236645512303549,0.371215490601504,0.176894199892153,0.676572422100712,0.387954309394718,0.260634799680843
450,"t","fem",0.394522444236158,0.224024320606299,0.327828069296116,0.192526206453739,0.288314870174941,0.391703736470713,0.241191710227222,0.644373358715796,0.413448377299478,0.312967578966354
500,"t","fem",0.416305860295766,0.285817726022667,0.35836099088631,0.250424776274,0.328711069029033,0.419167773669413,0.301803618521979,0.618581925947439,0.440276424978287,0.350180296274531
100,"gauss","fem",0.00188592640375764,1.31737299298772e-06,7.9297554277562e-08,2.03381131106145e-10,0.0255257854323514,0.00468100119008446,0.000126613089303835,0.240430729102567,0.0312252226164753,0.105241794305515
150,"gauss","fem",0.0669343408689412,0.00328121178748745,0.00371719793737558,0.000179467843395761,0.0608247693967625,0.0685335383673074,0.00928118063915747,0.526786048516502,0.132862023293125,0.120187827858806
200,"gauss","fem",0.143089973013606,0.00959065943742198,0.020846844769591,0.00150118190552699,0.0854184762953977,0.148115788572379,0.020003900451992,0.640725934666289,0.221837432281633,0.145309267424828
250,"gauss","fem",0.24195399863446,0.04371153516646,0.0885124244932756,0.016509310101088,0.137642351287101,0.245016178535785,0.0593676763371815,0.674815143766941,0.299252954783209,0.180082917172514
300,"gauss","fem",0.311238492683597,0.123647489881911,0.196562352988532,0.0780388681408041,0.206177332409321,0.321674229362254,0.148115788572379,0.657931462563241,0.351992389341302,0.238912697855218
350,"gauss","fem",0.353807850069747,0.17249035299713,0.255110598803778,0.12314902747822,0.254326456409787,0.35836099088631,0.186567807714502,0.654334960985523,0.386083481585503,0.28250428868168
400,"gauss","fem",0.402065666774421,0.234390213380479,0.326946031113131,0.206177332409321,0.295867371352468,0.383282212390633,0.255896003862654,0.626935975244558,0.418213319349139,0.31817945336918
450,"gauss","fem",0.409645544663434,0.284158697842984,0.34656636067819,0.255896003862654,0.332252598637269,0.415352866453445,0.299252954783209,0.612981432602649,0.435461827662283,0.343865022186388
500,"gauss","fem",0.415352866453445,0.304364008464328,0.37491548576479,0.267826742586501,0.349275524168934,0.422990295452949,0.31817945336918,0.600767482655405,0.43642400567916,0.359274065333711
100,"copula","fem",0.00399728987102867,5.42948787496809e-06,4.84644521393571e-07,1.93344611580271e-09,0.0290562655330907,0.00535348645704758,0.000163444186520992,0.216782393425656,0.0319189356134834,0.124147363364683
150,"copula","fem",0.0543476804466114,0.00101018372790077,0.00107865642421291,1.94898810223335e-05,0.0543476804466114,0.0596568843940248,0.00355771746748862,0.506335746019873,0.123647489881911,0.120677845605905
200,"copula","fem",0.193865924646718,0.0228870525895173,0.0399998219331032,0.00471442145159021,0.113474441232362,0.166321571649426,0.0337090495645598,0.632472639557703,0.220386306398664,0.16329128211985
250,"copula","fem",0.263818905536994,0.0535446531587709,0.100428442627875,0.0189627567331477,0.147551602099525,0.229915506714444,0.0599471952648581,0.660619488606942,0.292499487871493,0.200649346379635
300,"copula","fem",0.306076288718152,0.104797439325633,0.18460732521874,0.0540789527398772,0.197239993932938,0.290822254877606,0.12314902747822,0.654334960985523,0.340275620651126,0.23214685930672
350,"copula","fem",0.330479936212088,0.120677845605905,0.216782393425656,0.0724917611863352,0.20827338527119,0.331365795155939,0.127686070332787,0.667747401362731,0.355626641284204,0.231401738860477
400,"copula","fem",0.388890702447655,0.194537909285804,0.295023732147597,0.143089973013606,0.263021023495013,0.363851408388617,0.200649346379635,0.65343363932181,0.396404665572716,0.287481346388126
450,"copula","fem",0.410595471116029,0.213212794845504,0.329595026082744,0.17626076456955,0.275117312389031,0.397346685433962,0.224024320606299,0.640725934666289,0.403011202554389,0.299252954783209
500,"copula","fem",0.415352866453445,0.289985327865341,0.367527360442297,0.263021023495013,0.336700633304381,0.414400370313473,0.306076288718152,0.619512967563115,0.424904302312059,0.351085919535673
100,"t","ieem",0.00677371906974133,4.55617857435161e-05,5.49094383127104e-06,1.41235817274673e-07,0.0582218228093273,0.0197684370865657,0.00166380972928795,0.27348877422557,0.0678903581359363,0.162089273710393
150,"t","ieem",0.0949494690267993,0.00659092695180792,0.00734924746229937,0.000977464489536892,0.116318123160177,0.124147363364683,0.024950036462216,0.517053298106533,0.199281380443755,0.190527271715304
200,"t","ieem",0.209677711593414,0.0453185249525634,0.0629114992007002,0.0141557961555598,0.183956688197446,0.230657953983508,0.0780388681408041,0.605477555763842,0.271054948790261,0.214636503417064
250,"t","ieem",0.295867371352468,0.121662096513876,0.170005540088998,0.0682113631505421,0.237399923005102,0.313833670482129,0.153258379194817,0.59887929621294,0.347468551796073,0.274302446582153
300,"t","ieem",0.326946031113131,0.154998558510528,0.212503010753751,0.104354444505568,0.257470591302479,0.333140342363206,0.18460732521874,0.603595334427284,0.368448263458471,0.289985327865341
350,"t","ieem",0.352899701065938,0.204786937836192,0.264618019887274,0.165105124901992,0.290822254877606,0.351992389341302,0.229915506714444,0.613916518414496,0.385149057077696,0.326946031113131
400,"t","ieem",0.372139389351348,0.23967105755394,0.294181202793259,0.195886124512649,0.31817945336918,0.379556682591689,0.255896003862654,0.610172258585132,0.411545922299488,0.331365795155939
450,"t","ieem",0.403957305825774,0.238912697855218,0.322550410338234,0.193865924646718,0.295023732147597,0.387018567397351,0.251981631559986,0.622301921654586,0.408696148320058,0.322550410338234
500,"t","ieem",0.415352866453445,0.28250428868168,0.36018794418547,0.248099086399989,0.330479936212088,0.413448377299478,0.297557964970773,0.604536749902886,0.417259346408028,0.334918633298545
100,"gauss","ieem",0.00355771746748862,9.3616586131301e-06,5.22120756339332e-07,2.71235049418193e-09,0.0328039270873522,0.00863092345879907,0.000259422402753524,0.235892422351575,0.0387526089574892,0.133387453670769
150,"gauss","ieem",0.096193875043584,0.00520516557203966,0.00520516557203966,0.000339982866947917,0.0904880899478909,0.0885124244932756,0.0124868498334678,0.503411657385952,0.151531194611945,0.154998558510528
200,"gauss","ieem",0.208974853605747,0.0395805092597609,0.0599471952648581,0.0112049707778977,0.168157064992691,0.211794608863031,0.0617123573781795,0.599823681116551,0.267826742586501,0.216065721952415
250,"gauss","ieem",0.28250428868168,0.102159818963644,0.154998558510528,0.0519668184026426,0.218219852550526,0.284987636225664,0.125655460235313,0.601710695558723,0.345665039014477,0.2590501971909
300,"gauss","ieem",0.331365795155939,0.171866988733022,0.231401738860477,0.121662096513876,0.263021023495013,0.340275620651126,0.195886124512649,0.603595334427284,0.37398939187655,0.301803618521979
350,"gauss","ieem",0.355626641284204,0.218219852550526,0.272676298421971,0.174998206340451,0.289149531812862,0.351992389341302,0.250424776274,0.606417746791814,0.392642682220786,0.326946031113131
400,"gauss","ieem",0.384215298980936,0.217500437513729,0.298404912167945,0.175628766551244,0.289985327865341,0.381418074052561,0.223294000308855,0.624157698542291,0.412496892826218,0.322550410338234
450,"gauss","ieem",0.403957305825774,0.294181202793259,0.348371607815447,0.260634799680843,0.349275524168934,0.408696148320058,0.305219615740182,0.583694139704234,0.435461827662283,0.367527360442297
500,"gauss","ieem",0.416305860295766,0.317308266718912,0.37029233343042,0.280854525076347,0.357448725581598,0.416305860295766,0.324305727913618,0.595096028722577,0.443169474836635,0.359274065333711
